,Person,Total Gross,Number of Movies,Average,#1 Picture,Gross
731,Alicia Silverstone,445600000.0,18,$24.8,Batman and Robin,107300000.0
732,Stellan Skarsgard,3296300000.0,46,$71.7,The Avengers,623400000.0
733,Alexander Skarsgård,193400000.0,10,$19.3,The Legend of Tarzan,126600000.0
734,John Slattery,774600000.0,12,$64.6,Iron Man 2,312400000.0
735,Kodi Smit-McPhee,476500000.0,9,$52.9,Dawn of the Planet of the Apes,208500000.0
736,Jaden Smith,480000000.0,4,$120.0,The Karate Kid,176600000.0
737,Kevin Smith,209900000.0,7,$30.0,Live Free or Die Hard,134500000.0
738,Maggie Smith,691700000.0,24,$28.8,Sister Act,139600000.0
739,Will Smith,3205000000.0,25,$128.2,Suicide Squad,325100000.0
740,Wesley Snipes,976500000.0,31,$31.5,Blade II,82300000.0
741,Kang-ho Song,14100000.0,8,$1.8,The Interview (2014),6100000.0
742,Mira Sorvino,69900000.0,13,$5.4,Romy & Michele's High School Reunion,29200000.0
743,Kevin Spacey,1530200000.0,40,$38.3,Superman Returns,200100000.0
744,David Spade,906100000.0,15,$60.4,Hotel Transylvania 2,169700000.0
745,Octavia Spencer,1096400000.0,14,$78.3,Zootopia,341300000.0
746,Brent Spiner,1037200000.0,17,$61.0,Independence Day,306200000.0
747,Morgan Spurlock,638000.0,1,$638k,POM Wonderful Presents: The Greatest Movie Ever Sold,638000.0
748,Sylvester Stallone,2555900000.0,43,$59.4,Guardians of the Galaxy 2,389800000.0
749,Sebastian Stan,1896400000.0,18,$105.4,Avengers: Infinity War,678800000.0
750,Lakeith Stanfield,521700000.00000006,11,$47.4,Get Out,176000000.0
751,Jason Statham,1654700000.0,33,$50.1,Furious 7,353000000.0
752,Imelda Staunton,671400000.0,16,$42.0,Harry Potter / Phoenix,292100000.0
753,Hailee Steinfeld,902700000.0,15,$60.2,Spider-Man: Into The Spider-Verse,190200000.0
754,Dan Stevens,670200000.0,9,$74.5,Beauty and the Beast,504000000.0
755,Ray Stevenson,1166800000.0,16,$72.9,Thor: The Dark World,206400000.0
756,Kristen Stewart,1820500000.0,31,$58.7,The Twilight Saga: Eclipse,300500000.0
757,Patrick Stewart,1551500000.0,22,$70.5,X-Men: The Last Stand,234400000.0
758,Julia Stiles,1041300000.0,20,$52.1,The Bourne Ultimatum,227500000.0
759,Ben Stiller,2829100000.0,38,$74.5,Meet the Fockers,279300000.0
760,Emma Stone,1593600000.0,20,$79.7,The Amazing Spider-Man,262000000.0
761,Sharon Stone,743900000.0,35,$21.3,Total Recall,119400000.0
762,Meryl Streep,2413000000.0,56,$43.1,Mary Poppins Returns,172000000.0
763,Barbra Streisand,995400000.0,15,$66.4,Meet the Fockers,279300000.0
764,Mark Strong,1367200000.0,39,$35.1,Sherlock Holmes,209000000.0
765,Jim Sturgess,233300000.0,13,$17.9,21,81200000.0
766,Tom Sturridge,23800000.0,8,$3.0,Far from the Madding Crowd,12200000.0
767,Jason Sudeikis,921300000.0,19,$48.5,We're the Millers,150400000.0
768,Jeremy Sumpter,139900000.0,4,$35.0,Peter Pan,48500000.0
769,Kiefer Sutherland,1087500000.0,36,$30.2,Monsters Vs. Aliens,198400000.0
770,Hilary Swank,476200000.0,19,$25.1,Million Dollar Baby,100500000.0
771,Nick Swardson,792500000.0,13,$61.0,Grown Ups 2,133699999.99999999
772,Patrick Swayze,575100000.0,24,$24.0,Ghost,217600000.0
773,Tilda Swinton,1315500000.0,35,$37.6,The Chronicles of Narnia,291700000.0
774,Omar Sy,1074700000.0,7,$153.5,Jurassic World,652300000.0
775,Jorma Taccone,330800000.0,4,$82.7,The LEGO Movie,257800000.0
776,Quentin Tarantino,28700000.0,2,$14.3,From Dusk Till Dawn,25800000.0
777,Channing Tatum,2250400000.0,34,$66.2,The LEGO Movie,257800000.0
778,Christine Taylor,307900000.0,7,$44.0,DodgeBall,114300000.0
779,Aimee Teegarden,10200000.0,3,$3.4,Prom,10100000.0
780,Miles Teller,659900000.0,16,$41.2,Divergent,150900000.0
781,Juno Temple,396200000.0,18,$22.0,Maleficent,241400000.0
782,Charlize Theron,1666400000.0,38,$43.9,Hancock,227900000.0
783,Max Thieriot,233500000.0,9,$25.9,The Pacifier,113100000.0
784,Olivia Thirlby,366300000.0,17,$21.5,Juno,143500000.0
785,Emma Thompson,1574500000.0,34,$46.3,Beauty and the Beast,504000000.0
786,Tessa Thompson,1099700000.0,10,$110.0,Avengers: Endgame,452400000.0
787,Bella Thorne,324900000.0,10,$32.5,Alvin and the Chipmunks: The Road Chip,85900000.0
788,Billy Bob Thornton,1057099999.9999999,36,$29.4,Armageddon,201600000.0
789,Uma Thurman,789100000.0,34,$23.2,Pulp Fiction,107900000.0
790,Brenton Thwaites,488600000.0,6,$81.4,Maleficent,241400000.0
791,Justin Timberlake,671500000.0,15,$44.8,Trolls,153700000.0
792,Analeigh Tipton,151800000.0,4,$37.9,"Crazy, Stupid, Love.",84400000.0
793,Marisa Tomei,2099600000.0,45,$46.7,Captain America 3,408100000.0
794,Lily Tomlin,642500000.0,21,$30.6,Spider-Man: Into The Spider-Verse,190200000.0
795,Michelle Trachtenberg,254200000.0,8,$31.8,Inspector Gadget,97400000.0
796,John Travolta,2404400000.0,46,$52.3,Grease,190000000.0
797,Stanley Tucci,3778200000.0,56,$67.5,Beauty and the Beast,504000000.0
798,Chris Tucker,797700000.0,9,$88.6,Rush Hour 2,226200000.0
799,Alan Tudyk,2499500000.0,13,$192.3,Rogue One,532200000.00000006
800,Liv Tyler,1545600000.0,23,$67.2,Return of the King,377800000.0
801,Carrie Underwood,43900000.0,1,$43.9,Soul Surfer,43900000.0
802,Kate Upton,128199999.99999999,2,$64.1,The Other Woman,83900000.0
803,Karl Urban,2276600000.0,19,$119.8,Return of the King,377800000.0
804,Wilmer Valderrama,76800000.0,8,$9.6,Larry Crowne,35600000.0
805,Jean-Claude Van Damme,610800000.0,22,$27.8,Kung Fu Panda 2,165200000.0
806,Nia Vardalos,317900000.0,5,$63.6,My Big Fat Greek Wedding,241400000.0
807,Vince Vaughn,1806900000.0,36,$50.2,The Lost World,229100000.0
808,Alexa Vega,369500000.0,9,$41.1,Spy Kids,112700000.0
809,Alicia Vikander,368000000.0,13,$28.3,Jason Bourne,162400000.0
810,Goran Visnjic,86100000.0,7,$12.3,Practical Magic,46700000.0
811,Mike Vogel,537700000.0,12,$44.8,The Help,169700000.0
812,Jon Voight,2268200000.0,35,$64.8,Transformers,319200000.0
813,Mark Wahlberg,3005900000.0,43,$69.9,Transformers 4,245400000.0
814,David Wain,101000.0,2,$50.3k,Delirious (2007),86500.0
815,Rhys Wakefield,46700000.0,3,$15.6,Endless Love,23400000.0
816,Christopher Walken,2093000000.0,62,$33.8,The Jungle Book,364000000.0
817,Paul Walker,1644400000.0,19,$86.5,Furious 7,353000000.0
818,Quvenzhane Wallis,253100000.0,4,$63.3,Trolls,153700000.0
819,Julie Walters,1798600000.0,28,$64.2,Harry Potter / Sorcerer's Stone,317900000.0
820,Christoph Waltz,1079800000.0,15,$72.0,Spectre,200100000.0
821,Denzel Washington,2502000000.0,47,$53.2,American Gangster,130199999.99999999
822,Mia Wasikowska,534200000.00000006,18,$29.7,Alice in Wonderland,334200000.0
823,Katherine Waterston,503100000.0,7,$71.9,Fantastic Beasts and Where To Find Them,234000000.0
824,Emma Watson,3207900000.0,18,$178.2,Beauty and the Beast,504000000.0
825,Naomi Watts,949800000.0,38,$25.0,King Kong,218100000.0
826,Damon Wayans,217400000.0,11,$19.8,The Last Boy Scout,59500000.0
827,Keenen Ivory Wayans,69200000.0,4,$17.3,A Low Down Dirty Shame,29400000.0
828,Marlon Wayans,765600000.0,17,$45.0,Scary Movie,157000000.0
829,Shawn Wayans,377900000.0,5,$75.6,Scary Movie,157000000.0
830,John Wayne,8199999.999999999,2,$4.1,The Shootist,8100000.0
831,Sigourney Weaver,2280100000.0,47,$48.5,Avatar,760500000.0
832,Hugo Weaving,2189400000.0,20,$109.5,Fellowship of the Ring,315500000.0
833,Rachel Weisz,1267100000.0,38,$33.3,Oz The Great and Powerful,234900000.0
834,Leigh Whannell,90200000.0,3,$30.1,Insidious 4,67700000.0
835,Ben Whishaw,879600000.0,15,$58.6,Skyfall,304400000.0
836,Forest Whitaker,2830500000.0,57,$49.7,Black Panther,700100000.0
837,Kristen Wiig,2367500000.0,33,$71.7,Despicable Me 2,368100000.0
838,Olivia Wilde,575600000.0,22,$26.2,Tron Legacy,172100000.0
839,Gene Wilder,357200000.0,10,$35.7,Blazing Saddles,119600000.0
840,Tom Wilkinson,1208400000.0,46,$26.3,Rush Hour,141200000.0
841,Michael K. Williams,656600000.0,16,$41.0,The Incredible Hulk,134800000.0
842,Michelle Williams,1156400000.0,31,$37.3,Oz The Great and Powerful,234900000.0
843,Robin Williams,3279300000.0,50,$65.6,Night at the Museum,250900000.0
844,Bruce Willis,3335000000.0,62,$53.8,Sixth Sense,293500000.0
845,Luke Wilson,656700000.0,32,$20.5,Legally Blonde,96500000.0
846,Owen Wilson,2922500000.0,43,$68.0,Night at the Museum,250900000.0
847,Patrick Wilson,1118400000.0,21,$53.3,Aquaman,335100000.0
848,Rebel Wilson,620700000.0,9,$69.0,Pitch Perfect 2,184300000.0
849,Oprah Winfrey,745400000.0,9,$82.8,Bee Movie,126600000.0
850,Kate Winslet,1519300000.0,34,$44.7,Titanic,659400000.0
851,Mary Elizabeth Winstead,480000000.0,18,$26.7,Live Free or Die Hard,134500000.0
852,Reese Witherspoon,1652300000.0,33,$50.1,Sing,270400000.0
853,Ellen Wong,31500000.0,1,$31.5,Scott Pilgrim vs. the World,31500000.0
854,Elijah Wood,1889300000.0,37,$51.1,Return of the King,377800000.0
855,Shailene Woodley,614700000.0,9,$68.3,Divergent,150900000.0
856,Kenny Wormald,64400000.00000001,4,$16.1,Footloose,51800000.0
857,Sam Worthington,1329900000.0,15,$88.7,Avatar,760500000.0
858,Jeffrey Wright,2006700000.0,27,$74.3,Catching Fire,424700000.0
859,Letitia Wright,2005300000.0,6,$334.2,Black Panther,700100000.0
860,Robin Wright,837200000.0,7,$119.6,Wonder Woman,412600000.0
861,Anton Yelchin,1090500000.0,22,$49.6,Star Trek,257700000.0
862,Donnie Yen,804700000.0,14,$57.5,Rogue One,532200000.00000006
863,Michelle Yeoh,806100000.0,13,$62.0,Crazy Rich Asians,174500000.0
864,Steven Yeun,58700000.0,3,$19.6,The Star,40900000.0
865,Renee Zellweger,1198900000.0,29,$41.3,Chicago,170700000.0
866,Catherine Zeta-Jones,1229300000.0,24,$51.2,Chicago,170700000.0
867,Zhang Ziyi,485900000.0,10,$48.6,Rush Hour 2,226200000.0
868,Josh Zuckerman,8400000.0,2,$4.2,Sex Drive,8400000.0
